n,t1,t2,t3,av
1,0.001,0.001,0.001,0.001
10,0.002,0.001,0.001,0.00133333333333333
100,0.001,0.001,0.002,0.00133333333333333
1000,0.001,0.001,0.002,0.00133333333333333
10000,0.072,0.066,0.068,0.0686666666666667
20000,0.264,0.254,0.261,0.259666666666667
30000,0.588,0.577,0.565,0.576666666666667
40000,1.033,1.016,1.025,1.02466666666667
50000,1.584,1.588,1.577,1.583
60000,2.254,2.271,2.276,2.267
70000,3.090,3.084,3.078,3.084
80000,4.024,4.053,4.035,4.03733333333333
90000,5.068,5.096,5.032,5.06533333333333
100000,6.254,6.254,6.244,6.25066666666667
