n,t1,t2,t3,av
1,0.045,0.047,0.049,0.047
10,0.046,0.050,0.047,0.0476666666666667
100,0.044,0.048,0.056,0.0493333333333333
1000,0.050,0.057,0.054,0.0536666666666667
10000,0.122,0.131,0.127,0.126666666666667
20000,0.342,0.345,0.339,0.342
30000,0.689,0.697,0.691,0.692333333333333
40000,1.194,1.191,1.181,1.18866666666667
50000,2.226,2.272,2.275,2.25766666666667
60000,3.239,3.272,3.240,3.25033333333333
70000,4.379,4.339,4.384,4.36733333333333
80000,5.703,5.687,5.706,5.69866666666667
90000,7.249,7.188,7.238,7.225
100000,8.906,8.899,8.887,8.89733333333333
